district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41157368,960227,980202,34,6843,8880,46,381348,از کار افتاده,1398/10/27,,,51030500,9,مسكوني,16,0.75
ناحيه 50 مراکز اداري دولتي ,11481452,951114,960418,155,10502,13500,326,1568365,nan,1395/06/14,4079229.83853,272623.542976,14232500,12,مسكوني,51,0.75
ناحيه 7 گرگان,11367986,980927,970206,267,6323,72,90,409087,nan,1393/11/03,4081150.30455,,36053000,17,مسكوني,60,0.75
ناحيه 6 گرگان,11288156,960710,990824,59,1393,1817,479,976521,nan,1395/07/27,,,61450502,23,مسكوني,42,0.75
ناحيه 7 گرگان,11316877,960906,980530,114,4259,3870,217,970756,از کار افتاده,1399/10/30,4076506.11827,272660.061464,27000400,20,مسكوني,52,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11527363,980307,961226,878,7448,4935,514,872123,nan,1390/09/10,,272867.835396,21414300,21,مسكوني,35,0.75
ناحيه 6 گرگان,11505742,950428,981021,306,17288,1610,952,301422,از کار افتاده,1394/09/02,4078283.99194,,25070700,17,مسكوني,63,0.75
ناحيه 8 گرگان,11344641,961117,961026,345,12601,2289,938,886966,از کار افتاده,1395/09/07,4079153.59114,271439.84782100003,17640800,20,مسكوني,114,0.75
ناحيه 2 گرگان,41140503,940129,980311,292,20722,13399,324,653163,قرائت نشده,1396/08/13,4075951.19834,,22619300,10,مسكوني,28,0.75
ناحيه 2 گرگان,11450930,960403,950822,254,7201,24189,479,443286,قرائت نشده,1397/09/10,4080098.57151,271595.082379,14621400,12,مسكوني,165,0.75
ناحيه 4 گرگان,41132802,980712,981229,305,12044,9051,395,2678995,nan,1395/02/07,,,41111400,6,مسكوني,66,0.75
ناحيه 5 گرگان,11675303,960514,980503,68,8270,13885,455,386127,قرائت نشده,1393/12/24,,,63033700,5,مسكوني,50,0.75
ناحيه 4 گرگان,11465902,960612,980204,131,1470,10615,4,2156220,قرائت نشده,1389/11/16,,272899.917643,24321200,23,مسكوني,50,0.75
ناحيه 9 گرگان,41175951,980503,990916,159,14225,2658,733,1710617,قرائت نشده,1389/10/11,4079848.76437,36.8475416666666,16948600,28,مسكوني,58,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11239546,941027,990125,248,5233,3527,461,925227,از کار افتاده,1390/02/10,4078062.2846,,45300200,6,مسكوني,198,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41118796,980916,950702,54,12886,4319,182,1184149,از کار افتاده,1391/12/22,4081300.893530001,,26248100,4,مسكوني,77,0.75
ناحيه 2 گرگان,11134744,980925,980710,115,7895,4783,75,245485,از کار افتاده,1391/12/14,4081197.76662,,37412000,10,مسكوني,240,0.75
ناحيه 5 گرگان,11251490,990309,990124,385,2539,15436,261,1837909,از کار افتاده,1391/03/02,,,16498200,8,مسكوني,51,0.75
ناحيه 9 گرگان,41118966,951025,990228,94,2182,9015,217,419920,nan,1397/06/22,4079387.23066,271712.342662,14413400,16,مسكوني,70,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11674860,981029,960809,363,5097,7779,202,506019,قرائت نشده,1398/09/11,4075613.46556,,12222500,18,مسكوني,77,0.75
ناحيه 6 گرگان,11244515,970127,970402,359,4725,1591,616,254374,قرائت نشده,1395/12/19,,,45062400,4,مسكوني,240,0.75
املاک استيجاري اموزشي  ,11411276,971007,960810,104,20084,2147,213,1509395,از کار افتاده,1391/08/30,4079053.11882,273667.325346,12141500,17,مسكوني,80,0.75
ناحيه 6 گرگان,11312898,990303,950230,236,17219,3322,561,134369,از کار افتاده,1394/06/30,4077049.96785,270688.884978,51402700,42,مسكوني,42,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11552376,980302,970710,88,4404,10485,258,755413,از کار افتاده,1391/04/19,,,45181300,15,مسكوني,7,0.75
ناحيه 2 گرگان,41159131,970610,980927,178,2516,8283,504,643998,از کار افتاده,1394/06/23,4079237.07658,,36201200,21,مسكوني,114,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11517767,990506,980906,157,8367,9216,253,461469,قرائت نشده,1395/06/08,4079074.79616,,63340800,2,مسكوني,43,0.75
ناحيه 6 گرگان,11664628,980322,950607,77,9134,9507,681,4123173,از کار افتاده,1389/12/19,,,23440700,3,مسكوني,63,0.75
ناحيه 50 مراکز اداري دولتي ,11692113,961207,960225,401,5722,10233,133,457654,از کار افتاده,1396/07/19,4080242.27369,36.828274098224895,22481400,6,مسكوني,62,0.75
ناحيه 2 گرگان,61690624,950929,970528,243,4954,910,135,998906,قرائت نشده,1390/06/19,4081155.29185,,11153665,7,مسكوني,22,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41113115,971009,970331,359,810,4144,758,122193,از کار افتاده,1395/06/07,4079605.68197,271533.49524,45171500,8,مسكوني,80,0.75
ناحيه 2 گرگان,11263234,970312,981130,123,19340,10221,776,399468,قرائت نشده,1390/07/25,,,61001000,1,مسكوني,42,0.75
املاک استيجاري اموزشي  ,11493213,980926,981003,143,8096,6700,43,696642,از کار افتاده,1390/02/12,4079220.61577,,64140620,6,مسكوني,40,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41138274,950503,980420,253,22309,8530,322,713048,از کار افتاده,1391/04/20,,273324.551706,14413500,4,مسكوني,70,0.75
ناحيه 3 گرگان,11393421,980426,981104,700,18994,9031,776,2019467,قرائت نشده,1395/07/01,4080346.599,,21754400,2,مسكوني,17,0.75
ناحيه 4 گرگان,11657161,980407,990231,209,8125,2989,34,199376,از کار افتاده,1391/04/24,,273052.61117600003,14811125,24,مسكوني,198,0.75
ناحيه 8 گرگان,41127078,990224,970524,48,2499,8353,22,130704,از کار افتاده,1395/05/07,,271492.095594,22461000,4,مسكوني,32,0.75
ناحيه 1 گرگان,11307762,961108,970224,339,12009,4234,34,129847,از کار افتاده,1397/10/16,4080950.11421,,23502700,15,مسكوني,36,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11150910,970912,990510,363,14334,1496,149,1700592,nan,1395/03/17,,273168.945539,62642700,7,مسكوني,23,0.75
ناحيه 50 مراکز اداري دولتي ,11704948,960717,971111,228,10532,16674,629,1751741,قرائت نشده,1397/06/18,,,51433601,1,مسكوني,104,0.75
ناحيه 4 گرگان,11685645,961109,970906,216,10436,3178,7,162684,nan,1395/09/24,,,26215100,4,مسكوني,60,0.75
ناحيه 7 گرگان,11142739,941228,950829,40,9830,5523,13,882130,قرائت نشده,1391/11/12,,272323.216076,16969000,10,مسكوني,28,0.75
ناحيه روستايي گرگان,11336274,970706,970624,30,4736,24436,387,848241,از کار افتاده,1392/09/11,,,23203700,1,مسكوني,22,0.75
ناحيه 9 گرگان,11315510,980710,990708,121,9866,142,48,77170,nan,1391/07/05,4077082.26246,,16511100,11,مسكوني,60,0.75
ناحيه 9 گرگان,11129937,970213,980701,749,12869,2008,317,466885,nan,1394/06/17,,,14181400,8,مسكوني,75,0.75
ناحيه 1 گرگان,11653910,970818,980426,2891,747,3650,478,757362,قرائت نشده,1395/11/16,,,51772800,42,مسكوني,296,0.75
ناحيه 8 گرگان,11307975,980824,980904,121,11471,4282,526,1398298,از کار افتاده,1396/03/17,,272617.227371,16652000,11,مسكوني,61,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41181005,941126,960308,78,8129,16707,312,214068,از کار افتاده,1397/03/15,,,14501708,3,مسكوني,22,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11525018,980219,970524,251,20133,184,221,1391649,nan,1394/10/21,,,21640400,4,مسكوني,131,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11485946,960125,970303,404,99969,6895,2046,209005,قرائت نشده,1399/09/16,,271597.080923,14952525,6,مسكوني,62,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11320017,971208,980312,134,6518,8110,531,1606678,از کار افتاده,1392/09/09,4079626.00165,273749.699915,27313800,9,مسكوني,23,0.75
ناحيه 6 گرگان,11316079,950429,991110,116,2380,15619,192,423758,از کار افتاده,1398/08/11,,273796.306464,74437000,7,مسكوني,70,0.75
ناحيه روستايي گرگان,11310801,940817,990705,138,13661,8397,529,1474437,از کار افتاده,1390/04/29,,,21901800,10,مسكوني,37,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11505475,960716,970229,51,2241,460,225,478709,قرائت نشده,1393/09/11,,,16571000,28,مسكوني,65,0.75
ناحيه 8 گرگان,11408381,961212,950625,93,4480,4662,535,810697,قرائت نشده,1389/03/17,4081427.298380001,,21806000,42,مسكوني,14,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11235150,970724,950724,105,8119,6835,70,1393328,از کار افتاده,1397/06/09,4080337.86269,,23440600,1,مسكوني,11,0.75
ناحيه 4 گرگان,11657193,950719,970506,261,10174,8448,222,734414,قرائت نشده,1399/03/20,,273052.61117600003,16445300,5,مسكوني,35,0.75
ناحيه 8 گرگان,11310381,970518,981229,128,14887,7089,656,1971906,nan,1390/03/19,,269704.390276,14920900,14,مسكوني,14,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41122491,940603,991110,339,6955,44975,225,2168382,nan,1399/07/09,,271263.734923,23581900,8,مسكوني,24,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11308351,971007,950526,177,1635,25639,425,1826289,nan,1399/05/28,,,12150600,14,مسكوني,131,0.75
ناحيه 2 گرگان,11193601,991016,950426,64,9981,13757,21,785474,nan,1393/02/18,,273161.662995,22003100,23,مسكوني,28,0.75
ناحيه 3 گرگان,11308076,961019,990809,112,4222,2279,299,476369,از کار افتاده,1396/03/09,4080316.083230001,274752.71795300004,14921000,24,مسكوني,58,0.75
ناحيه روستايي گرگان,11125974,990506,950901,37,9385,8038,69,236791,nan,1396/06/12,,,12141800,12,مسكوني,13,0.75
ناحيه 2 گرگان,11549162,960227,990705,401,9603,7748,133,556900,قرائت نشده,1397/04/09,,,51370500,9,مسكوني,114,0.75
ناحيه 3 گرگان,11307754,961028,981127,80,8062,8906,223,922380,از کار افتاده,1398/04/30,,270069.778957,14970500,17,مسكوني,72,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11354493,961101,970631,259,8954,9843,288,658553,قرائت نشده,1390/05/25,4079158.64844,,14903700,5,مسكوني,63,0.75
ناحيه 6 گرگان,41192295,960223,970823,2891,892,15566,360,1119012,nan,1392/04/11,,,16961900,20,مسكوني,14,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41148130,960127,990429,347,12263,29577,18,538658,nan,1397/11/19,,,25045600,2,مسكوني,22,0.75
املاک استيجاري اموزشي  ,61689517,990527,991106,142,5023,58,674,448279,از کار افتاده,1397/03/02,4079538.60723,274648.523554,14840800,42,مسكوني,114,0.75
ناحيه 3 گرگان,11238663,950511,980129,3221,199,13216,95,981275,قرائت نشده,1395/02/27,4079625.87462,,27081200,20,مسكوني,50,0.75
ناحيه 2 گرگان,11160940,951025,960401,57,5992,16253,406,460436,قرائت نشده,1390/04/07,,,42170300,14,مسكوني,52,0.75
ناحيه 7 گرگان,41195880,950219,980813,28,1042,5649,227,1035602,از کار افتاده,1390/04/18,,,27061300,42,مسكوني,9,0.75
املاک استيجاري اموزشي  ,11316494,980506,970802,317,7722,417,454,779582,از کار افتاده,1399/01/24,4077427.3819,,23251500,6,مسكوني,296,0.75
املاک استيجاري اموزشي  ,11118382,950326,990102,1683,16922,285,488,77196,قرائت نشده,1392/08/26,4080891.39317,271062.62576900003,14540300,4,مسكوني,77,0.75
ناحيه 9 گرگان,61688702,970909,950917,243,8380,14476,147,411141,قرائت نشده,1396/07/17,,,25151800,5,مسكوني,14,0.75
ناحيه 1 گرگان,11166719,950427,980523,208,5591,11537,305,666654,nan,1393/07/14,,272770.14635500003,25281400,20,مسكوني,50,0.75
ناحيه 50 مراکز اداري دولتي ,11242857,960822,960428,29,629,10699,323,559909,از کار افتاده,1399/08/09,4077246.53537,,27062000,6,مسكوني,79,0.75
ناحيه 2 گرگان,11257960,990624,990830,1,4805,21610,92,412519,از کار افتاده,1395/02/10,,,45233100,16,مسكوني,51,0.75
ناحيه 2 گرگان,11432419,950619,960330,168,6802,10420,556,1390757,از کار افتاده,1390/07/01,4075611.04274,,14760600,3,مسكوني,77,0.75
ناحيه 6 گرگان,11473433,990226,990329,17,3391,12328,350,382758,nan,1397/12/03,,272720.072362,23714000,42,مسكوني,6,0.75
ناحيه 1 گرگان,11391976,960217,951008,89,11466,6253,213,156929,nan,1396/04/10,,,21152600,4,مسكوني,77,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11428551,980313,980631,360,10281,2751,542,1053552,از کار افتاده,1397/06/26,4080139.414,,25210000,6,مسكوني,19,0.75
ناحيه 50 مراکز اداري دولتي ,11443658,961201,991112,153,23122,13437,542,355387,قرائت نشده,1389/11/25,,273118.763531,42023900,5,مسكوني,58,0.75
ناحيه 2 گرگان,11247280,990427,980513,172,17294,4024,432,1913934,قرائت نشده,1397/01/28,,271376.474085,31701500,4,مسكوني,8,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41198366,950511,960325,253,16032,1983,14,889450,قرائت نشده,1397/06/18,4079590.8695,272617.145169,21638200,16,مسكوني,105,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41115916,960110,951027,65,6238,15733,204,115559,قرائت نشده,1394/09/07,,,25270800,7,مسكوني,104,0.75
ناحيه روستايي گرگان,11524861,971102,990828,82,10010,12666,335,347183,قرائت نشده,1397/01/25,4077281.64116,272269.800102,41562400,11,مسكوني,8,0.75
ناحيه 50 مراکز اداري دولتي ,11443089,950719,950921,237,19800,11707,376,2009671,nan,1396/04/05,4082083.61384,,12223600,21,مسكوني,296,0.75
ناحيه 8 گرگان,11361864,970912,990124,700,6588,12188,416,258643,قرائت نشده,1393/12/17,4080492.24149,272115.154977,22540100,3,مسكوني,100,0.75
ناحيه 6 گرگان,11676791,941015,960606,102,9771,14472,120,315561,nan,1399/04/25,,273061.52475100005,61430100,16,مسكوني,104,0.75
املاک استيجاري اموزشي  ,11326449,980205,960421,34,9474,2362,398,312874,nan,1395/06/07,4081715.55341,,25113600,9,مسكوني,28,0.75
ناحيه 1 گرگان,41126501,971125,970922,75,1600,9353,540,511087,از کار افتاده,1394/10/07,,,16681800,13,مسكوني,58,0.75
ناحيه 3 گرگان,11318586,971018,950430,241,1112,12358,458,496628,nan,1397/08/02,4079598.96844,,21611000,23,مسكوني,50,0.75
ناحيه 9 گرگان,11407708,980806,960223,158,17357,16170,131,1328924,قرائت نشده,1396/09/26,4077556.70597,270296.969778,74460900,5,مسكوني,5,0.75
ناحيه 50 مراکز اداري دولتي ,11199986,981003,950226,141,8851,1798,210,1453671,قرائت نشده,1397/11/28,4076815.39296,272686.394002,23151201,24,مسكوني,80,0.75
ناحيه روستايي گرگان,11591703,980421,970417,150,5727,9254,634,813914,قرائت نشده,1392/11/19,,,41645500,28,مسكوني,11,0.75
ناحيه روستايي گرگان,11650023,941126,960528,231,2760,6811,711,431509,قرائت نشده,1398/02/30,,,22551600,23,مسكوني,61,0.75
ناحيه 6 گرگان,11311085,980423,950315,364,5615,21001,8,347051,از کار افتاده,1397/08/02,,,14952100,17,مسكوني,165,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11644954,970724,950607,140,1926,1380,524,887320,از کار افتاده,1396/10/21,4075781.19945,273065.736047,25047200,16,مسكوني,100,0.75
ناحيه روستايي گرگان,41132195,960820,960914,130,12422,7367,577,344084,از کار افتاده,1392/12/12,,,16442600,21,مسكوني,52,0.75
ناحيه 9 گرگان,11312812,971005,950616,203,4678,10777,49,342463,از کار افتاده,1393/07/12,4081294.06137,,43604100,6,مسكوني,105,0.75
ناحيه 3 گرگان,11608801,950528,950531,8,9023,1524,273,1948392,از کار افتاده,1395/08/29,,,14911600,15,مسكوني,114,0.75
ناحيه 5 گرگان,11165160,990910,981222,96,10469,7487,841,647365,از کار افتاده,1392/09/11,4077109.4976,,11521700,10,مسكوني,11,0.75
املاک استيجاري اموزشي  ,11288881,980524,981121,37,11400,40,340,1042394,قرائت نشده,1398/07/09,,273083.307332,51501000,11,مسكوني,58,0.75
ناحيه 8 گرگان,11134868,970508,970507,42,9361,13351,131,204930,قرائت نشده,1394/07/15,,,26450900,7,مسكوني,104,0.75
املاک استيجاري اموزشي  ,11445031,980302,970721,79,6981,10040,432,962738,قرائت نشده,1391/05/25,4081886.42788,,16801201,6,مسكوني,20,0.75
ناحيه 4 گرگان,11432362,970921,990707,400,4760,5308,354,462530,قرائت نشده,1396/08/16,4075725.53583,,51772855,20,مسكوني,16,0.75
ناحيه 3 گرگان,11191047,960318,990620,181,11087,12035,114,385553,از کار افتاده,1392/12/18,,,65224800,14,مسكوني,8,0.75
ناحيه 5 گرگان,11688210,950914,981229,51,8538,10973,341,1831073,از کار افتاده,1396/06/01,,273142.847353,11526600,20,مسكوني,18,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41156108,971110,961116,240,24193,6401,506,1149231,از کار افتاده,1395/08/20,,272252.94717,41602700,24,مسكوني,80,0.75
ناحيه 8 گرگان,11524984,980408,990129,167,4299,13881,239,1493250,قرائت نشده,1394/12/17,,,14243701,42,مسكوني,79,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11372858,960605,971011,254,13500,6822,138,496247,قرائت نشده,1395/05/03,,270863.761009,15780400,23,مسكوني,17,0.75
ناحيه 3 گرگان,11117858,950730,980506,164,2408,13640,512,120282,قرائت نشده,1394/03/01,4080337.86269,272725.04303,25190300,11,مسكوني,20,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11474308,950828,990427,357,3840,6769,163,139478,از کار افتاده,1392/02/12,,,16445400,14,مسكوني,18,0.75
ناحيه 3 گرگان,11315358,970402,980423,141,1033,11265,536,254298,nan,1397/01/27,4075732.75174,271993.599536,24050500,12,مسكوني,52,0.75
ناحيه 2 گرگان,11328794,980601,970320,1,12410,4885,516,324532,قرائت نشده,1397/07/09,4077630.33951,,31951100,11,مسكوني,114,0.75
ناحيه 7 گرگان,11523848,990418,980624,745,2550,355,133,264327,از کار افتاده,1397/07/13,,,14412000,6,مسكوني,0,0.75
ناحيه 8 گرگان,11143522,951125,990430,188,11565,11504,226,189959,nan,1397/09/01,,,41670400,15,مسكوني,60,0.75
ناحيه 5 گرگان,11350455,961026,971229,96,16980,11193,54,479807,از کار افتاده,1390/10/29,,,25053802,6,مسكوني,52,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11518917,990402,951008,166,15242,15424,685,584404,قرائت نشده,1392/06/17,,272784.26998000004,46725100,20,مسكوني,114,0.75
ناحيه 1 گرگان,11408887,941127,981004,251,5063,20279,776,301629,قرائت نشده,1398/12/03,,272581.322217,14762800,21,مسكوني,51,0.75
ناحيه 5 گرگان,41139475,990603,980208,361,13466,8797,1049,831498,از کار افتاده,1392/03/10,54.4362241,274433.209537,15273200,13,مسكوني,15,0.75
ناحيه 4 گرگان,11196600,950627,981006,62,13452,147,493,995184,nan,1392/04/31,4078045.47715,,21530401,28,مسكوني,15,0.75
ناحيه 9 گرگان,11277294,991007,990631,150,6495,19720,598,203841,قرائت نشده,1391/12/22,4080189.72418,272133.66432399995,25272500,42,مسكوني,51,0.75
ناحيه 6 گرگان,11685178,970605,980512,161,6356,15174,69,551320,قرائت نشده,1396/09/14,4079165.49268,272290.487634,14921000,5,مسكوني,65,0.75
ناحيه 4 گرگان,11496930,961212,950926,223,4904,9181,267,330282,از کار افتاده,1390/06/15,,271428.43071,12231200,15,مسكوني,36,0.75
ناحيه 50 مراکز اداري دولتي ,11603311,970218,960805,64,2666,8259,119,765494,از کار افتاده,1396/05/31,4080198.26991,,17232245,2,مسكوني,0,0.75
ناحيه 8 گرگان,11418335,951114,981212,61,8741,15310,680,174949,nan,1397/05/13,4078086.50316,274330.099062,42432600,6,مسكوني,19,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11282743,970712,981008,191,6969,3870,290,1324372,قرائت نشده,1393/04/05,4080790.10772,,42300801,5,مسكوني,58,0.75
ناحيه 4 گرگان,41175561,970719,960729,1210,8010,11626,610,295441,از کار افتاده,1394/06/30,,272894.94456100004,22371600,4,مسكوني,6,0.75
ناحيه 3 گرگان,11518089,960529,970329,56,10197,9414,14,393914,nan,1399/10/19,4077526.42174,,43606100,15,مسكوني,27,0.75
ناحيه 4 گرگان,11375334,970524,991007,115,17170,575,329,922897,nan,1397/10/25,4077238.74162,268580.84728000005,25260600,9,مسكوني,50,0.75
ناحيه 50 مراکز اداري دولتي ,11330829,960220,990218,162,19341,9239,149,2255906,قرائت نشده,1394/05/24,,271053.36841,22031100,9,مسكوني,14,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11642389,960213,950427,459,12985,10156,436,1079386,قرائت نشده,1390/10/19,4079609.32078,271405.63731900003,14970400,21,مسكوني,36,0.75
ناحيه 4 گرگان,11320556,950117,990720,352,8398,3108,314,862721,قرائت نشده,1395/05/14,,,54040000,13,مسكوني,32,0.75
ناحيه 5 گرگان,11240358,980821,991017,287,12183,4947,1188,372905,از کار افتاده,1395/10/02,4077794.08012,272449.42658200004,16853000,8,مسكوني,8,0.75
املاک استيجاري اموزشي  ,11378244,971023,950401,185,2437,646,437,747205,قرائت نشده,1393/08/22,,,23406600,23,مسكوني,296,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41149829,960406,981106,38,11577,8692,567,732212,قرائت نشده,1397/05/13,4080497.53169,,61221615,8,مسكوني,58,0.75
ناحيه 3 گرگان,11267337,970524,960326,347,6274,11672,360,503412,از کار افتاده,1399/05/01,,,25241200,9,مسكوني,72,0.75
ناحيه 5 گرگان,41120685,950112,990406,111,15810,4651,545,1727785,nan,1390/05/17,,,21050955,1,مسكوني,17,0.75
ناحيه 6 گرگان,11507303,981003,981224,232,23526,7444,461,311396,قرائت نشده,1392/08/15,,,14943500,11,مسكوني,28,0.75
ناحيه 6 گرگان,11358634,950623,950718,260,3792,1025,670,1191312,قرائت نشده,1396/08/15,4076923.15522,,23331500,12,مسكوني,22,0.75
ناحيه 2 گرگان,11334417,941024,990407,54,10669,11304,381,477040,از کار افتاده,1393/01/30,4080183.06644,,25036300,9,مسكوني,5,0.75
ناحيه 5 گرگان,11610597,980220,951020,299,5083,12325,131,1849249,از کار افتاده,1394/06/17,,272179.897558,51261500,18,مسكوني,18,0.75
ناحيه 3 گرگان,11472887,970522,950813,197,8050,2606,651,1175819,قرائت نشده,1397/11/11,4080416.35883,,23291600,9,مسكوني,19,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11322923,990601,980502,305,13927,6993,595,1102817,nan,1394/10/09,,,21073800,14,مسكوني,66,0.75
ناحيه 7 گرگان,11554867,990807,971106,443,1685,2160,139,1179476,قرائت نشده,1398/02/15,,,16945000,1,مسكوني,75,0.75
ناحيه 6 گرگان,11194739,960126,970427,60,2544,315,202,690227,nan,1398/07/08,,,25184502,13,مسكوني,50,0.75
املاک استيجاري اموزشي  ,11189727,970712,981219,203,7549,7845,425,446604,قرائت نشده,1394/09/02,4077450.19985,,21601300,11,مسكوني,70,0.75
ناحيه 3 گرگان,11211072,951115,990701,73,4226,11817,88,729424,از کار افتاده,1396/03/13,4080632.54677,,16861900,6,مسكوني,77,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11243811,970505,970510,345,13176,14181,554,377532,قرائت نشده,1397/08/03,4078382.39921,273333.142538,23012200,3,مسكوني,198,0.75
ناحيه 6 گرگان,11579321,960415,990719,54,12936,8381,954,1077114,از کار افتاده,1390/02/02,4078930.426130001,272092.116747,16947600,8,مسكوني,42,0.75
ناحيه 4 گرگان,11319167,950226,950205,716,3901,1259,13,793022,nan,1391/07/01,,273313.72478000005,16951800,23,مسكوني,48,0.75
ناحيه 9 گرگان,41018287,960907,951020,223,4653,1917,207,444846,قرائت نشده,1391/02/11,,,41580501,8,مسكوني,58,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11446061,960218,970308,17,33853,3011,194,423012,nan,1397/05/28,,273100.203455,42083100,7,مسكوني,11,0.75
ناحيه 6 گرگان,11550519,980229,950623,227,7203,20863,202,1416647,قرائت نشده,1399/01/07,,,24010200,10,مسكوني,70,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41125857,950410,980320,116,3261,14058,1268,506902,قرائت نشده,1395/07/12,,273553.78373200004,25221400,28,مسكوني,10,0.75
ناحيه 1 گرگان,11481401,940716,970519,345,432,10848,916,278010,از کار افتاده,1390/06/30,,273146.970299,21861500,18,مسكوني,13,0.75
ناحيه روستايي گرگان,11428624,980918,970523,716,5214,2712,500,1020943,قرائت نشده,1397/03/29,,271065.857722,23343900,4,مسكوني,0,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11202642,970409,991114,313,457,2772,606,2995076,از کار افتاده,1394/11/01,,272905.383825,17220200,28,مسكوني,43,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41016888,971203,990824,31,2134,4188,514,96506,از کار افتاده,1397/10/09,,274638.526613,65000402,4,مسكوني,32,0.75
ناحيه 3 گرگان,61693185,990313,951027,41,7535,3262,336,1278008,قرائت نشده,1393/01/18,,,16819100,21,مسكوني,60,0.75
ناحيه 8 گرگان,11272187,970230,951012,15,7380,3946,124,167711,از کار افتاده,1396/11/08,,,62220900,11,مسكوني,80,0.75
ناحيه 6 گرگان,11678866,980508,950727,99,198,1887,372,260209,nan,1397/07/02,,,24140900,28,مسكوني,77,0.75
ناحيه 50 مراکز اداري دولتي ,11572083,990422,970905,316,12431,9149,115,694548,از کار افتاده,1397/04/22,4080220.75321,270020.029663,51592800,15,مسكوني,75,0.75
ناحيه 8 گرگان,11615971,971013,991019,89,4512,6485,215,639600,nan,1395/02/02,4079252.79721,273790.610207,16647700,10,مسكوني,61,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11338048,971221,980217,926,6866,1604,675,993976,nan,1392/10/01,,,16942225,28,مسكوني,18,0.75
ناحيه 3 گرگان,11291262,980519,970808,11,4440,7281,166,1097114,از کار افتاده,1398/02/05,4079016.16909,,23011300,4,مسكوني,198,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41126837,940725,980730,49,70,19230,428,622196,قرائت نشده,1395/06/01,,,14510900,7,مسكوني,100,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11656940,960526,981225,366,7338,5667,792,198224,nan,1391/02/27,,,41250700,20,مسكوني,72,0.75
ناحيه 4 گرگان,11524283,980514,970904,148,3386,2853,547,968843,nan,1395/10/22,,,25213100,11,مسكوني,22,0.75
